LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate,ParameterList,label
45,06-30,19:49:48.482,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
46,06-30,19:49:48.498,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
47,06-30,19:49:48.498,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
48,06-30,19:49:48.514,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
49,06-30,19:49:48.515,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
50,06-30,19:49:48.531,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
51,06-30,19:49:48.531,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
52,06-30,19:49:48.548,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
53,06-30,19:49:48.549,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
54,06-30,19:49:48.564,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
55,06-30,19:49:48.565,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
56,06-30,19:49:48.581,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
57,06-30,19:49:48.581,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
58,06-30,19:49:48.598,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
59,06-30,19:49:48.598,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
60,06-30,19:49:48.600,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 30935, 13765086, CUJ=J<LAUNCHER_OPEN_ALL_APPS>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '30935', '13765086, CUJ=J<LAUNCHER_OPEN_ALL_APPS>']",0
61,06-30,19:49:48.600,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 30957, 8122005, CUJ=J<LAUNCHER_OPEN_ALL_APPS>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '30957', '8122005, CUJ=J<LAUNCHER_OPEN_ALL_APPS>']",0
62,06-30,19:49:48.600,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 30972, 10486390, CUJ=J<LAUNCHER_OPEN_ALL_APPS>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '30972', '10486390, CUJ=J<LAUNCHER_OPEN_ALL_APPS>']",0
63,06-30,19:49:48.600,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31001, 7833888, CUJ=J<LAUNCHER_OPEN_ALL_APPS>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31001', '7833888, CUJ=J<LAUNCHER_OPEN_ALL_APPS>']",0
64,06-30,19:49:48.600,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31023, 13224463, CUJ=J<LAUNCHER_OPEN_ALL_APPS>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31023', '13224463, CUJ=J<LAUNCHER_OPEN_ALL_APPS>']",0
65,06-30,19:49:48.600,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31052, 7392103, CUJ=J<LAUNCHER_OPEN_ALL_APPS>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31052', '7392103, CUJ=J<LAUNCHER_OPEN_ALL_APPS>']",0
66,06-30,19:49:48.600,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31081, 8524418, CUJ=J<LAUNCHER_OPEN_ALL_APPS>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31081', '8524418, CUJ=J<LAUNCHER_OPEN_ALL_APPS>']",0
67,06-30,19:49:48.600,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31103, 7968714, CUJ=J<LAUNCHER_OPEN_ALL_APPS>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31103', '7968714, CUJ=J<LAUNCHER_OPEN_ALL_APPS>']",0
68,06-30,19:49:48.600,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31125, 9371823, CUJ=J<LAUNCHER_OPEN_ALL_APPS>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31125', '9371823, CUJ=J<LAUNCHER_OPEN_ALL_APPS>']",0
69,06-30,19:49:48.600,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31147, 10686312, CUJ=J<LAUNCHER_OPEN_ALL_APPS>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31147', '10686312, CUJ=J<LAUNCHER_OPEN_ALL_APPS>']",0
70,06-30,19:49:48.600,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31169, 6877027, CUJ=J<LAUNCHER_OPEN_ALL_APPS>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31169', '6877027, CUJ=J<LAUNCHER_OPEN_ALL_APPS>']",0
71,06-30,19:49:48.600,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31191, 7286718, CUJ=J<LAUNCHER_OPEN_ALL_APPS>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31191', '7286718, CUJ=J<LAUNCHER_OPEN_ALL_APPS>']",0
72,06-30,19:49:48.600,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31213, 7873982, CUJ=J<LAUNCHER_OPEN_ALL_APPS>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31213', '7873982, CUJ=J<LAUNCHER_OPEN_ALL_APPS>']",0
73,06-30,19:49:48.600,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31235, 7488092, CUJ=J<LAUNCHER_OPEN_ALL_APPS>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31235', '7488092, CUJ=J<LAUNCHER_OPEN_ALL_APPS>']",0
74,06-30,19:49:48.600,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31257, 6405554, CUJ=J<LAUNCHER_OPEN_ALL_APPS>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31257', '6405554, CUJ=J<LAUNCHER_OPEN_ALL_APPS>']",0
75,06-30,19:49:48.600,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31272, 6024301, CUJ=J<LAUNCHER_OPEN_ALL_APPS>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31272', '6024301, CUJ=J<LAUNCHER_OPEN_ALL_APPS>']",0
76,06-30,19:49:48.600,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31287, 7317419, CUJ=J<LAUNCHER_OPEN_ALL_APPS>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31287', '7317419, CUJ=J<LAUNCHER_OPEN_ALL_APPS>']",0
77,06-30,19:49:48.600,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31302, 5939497, CUJ=J<LAUNCHER_OPEN_ALL_APPS>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31302', '5939497, CUJ=J<LAUNCHER_OPEN_ALL_APPS>']",0
78,06-30,19:49:48.600,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31317, 7554507, CUJ=J<LAUNCHER_OPEN_ALL_APPS>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31317', '7554507, CUJ=J<LAUNCHER_OPEN_ALL_APPS>']",0
79,06-30,19:49:48.602,1090,1353,V,PerfettoTrigger,Triggering /system/bin/trigger_perfetto com.android.telemetry.interaction-jank-monitor-25,e49add05,Triggering <*> <*>,['/system/bin/trigger_perfetto com.android.telemetry.interaction-jank-monitor-25'],0
80,06-30,19:49:48.615,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
81,06-30,19:49:48.615,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
82,06-30,19:49:48.631,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
83,06-30,19:49:48.631,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
84,06-30,19:49:48.648,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
85,06-30,19:49:48.649,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
86,06-30,19:49:48.667,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
87,06-30,19:49:48.669,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
88,06-30,19:49:48.681,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
89,06-30,19:49:48.682,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
90,06-30,19:49:48.697,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
91,06-30,19:49:48.698,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
92,06-30,19:49:48.713,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
93,06-30,19:49:48.713,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
94,06-30,19:49:48.731,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
95,06-30,19:49:48.731,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
96,06-30,19:49:48.746,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
97,06-30,19:49:48.747,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
98,06-30,19:49:48.763,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
99,06-30,19:49:48.763,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
100,06-30,19:49:48.780,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
101,06-30,19:49:48.780,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
102,06-30,19:49:48.796,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
103,06-30,19:49:48.796,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
104,06-30,19:49:48.813,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
105,06-30,19:49:48.813,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
106,06-30,19:49:48.830,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
107,06-30,19:49:48.830,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
108,06-30,19:49:48.847,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
109,06-30,19:49:48.847,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
110,06-30,19:49:48.865,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
111,06-30,19:49:48.865,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
112,06-30,19:49:48.879,626,672,I,DisplayPowerController[0],"BrightnessEvent: disp=0, physDisp=local:4619827259835644672, brt=0.39763778, initBrt=0.39763778, rcmdBrt=NaN, preBrt=NaN, lux=0.0, preLux=0.0, hbmMax=1.0, hbmMode=off, rbcStrength=0, powerFactor=1.0, thrmMax=1.0, wasShortTermModelActive=false, flags=, reason=manual, autoBrightness=false",5d65f960,"BrightnessEvent: disp=<*>, physDisp=local:<*>, brt=<*>.<*>, initBrt=<*>.<*>, rcmdBrt=NaN, preBrt=NaN, lux=<*>.<*>, preLux=<*>.<*>, hbmMax=<*>.<*>, hbmMode=off, rbcStrength=<*>, powerFactor=<*>.<*>, thrmMax=<*>.<*>, wasShortTermModelActive=false, flags=, <*> autoBrightness=false","['0', '4619827259835644672', '0.39763778', '0.39763778', '0.0', '0.0', '1.0', '0', '1.0', '1.0', 'reason=manual,']",0
113,06-30,19:49:48.880,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
114,06-30,19:49:48.880,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
115,06-30,19:49:48.969,486,502,E,SurfaceFlinger,Only WindowManager is allowed to use eEarlyWakeup[Start|End] flags,5de975b3,Only WindowManager is allowed to use eEarlyWakeup[Start|End] flags,[],0
116,06-30,19:49:48.980,440,495,I,RanchuHwc,"validateDisplay: layer 24 CompositionType 1, fallback to client",e3959746,"validateDisplay: layer <*> CompositionType <*>, fallback to client","['24', '1']",0
117,06-30,19:49:48.980,440,495,I,RanchuHwc,"validateDisplay: layer 21 CompositionType 1, fallback to client",e3959746,"validateDisplay: layer <*> CompositionType <*>, fallback to client","['21', '1']",0
118,06-30,19:49:48.996,440,495,I,RanchuHwc,"validateDisplay: layer 24 CompositionType 1, fallback to client",e3959746,"validateDisplay: layer <*> CompositionType <*>, fallback to client","['24', '1']",0
119,06-30,19:49:48.996,440,495,I,RanchuHwc,"validateDisplay: layer 21 CompositionType 1, fallback to client",e3959746,"validateDisplay: layer <*> CompositionType <*>, fallback to client","['21', '1']",0
120,06-30,19:49:49.013,440,495,I,RanchuHwc,"validateDisplay: layer 24 CompositionType 1, fallback to client",e3959746,"validateDisplay: layer <*> CompositionType <*>, fallback to client","['24', '1']",0
121,06-30,19:49:49.013,440,495,I,RanchuHwc,"validateDisplay: layer 21 CompositionType 1, fallback to client",e3959746,"validateDisplay: layer <*> CompositionType <*>, fallback to client","['21', '1']",0
122,06-30,19:49:49.030,440,495,I,RanchuHwc,"validateDisplay: layer 24 CompositionType 1, fallback to client",e3959746,"validateDisplay: layer <*> CompositionType <*>, fallback to client","['24', '1']",0
123,06-30,19:49:49.030,440,495,I,RanchuHwc,"validateDisplay: layer 21 CompositionType 1, fallback to client",e3959746,"validateDisplay: layer <*> CompositionType <*>, fallback to client","['21', '1']",0
124,06-30,19:49:49.052,486,569,E,SurfaceFlinger,Only WindowManager is allowed to use eEarlyWakeup[Start|End] flags,5de975b3,Only WindowManager is allowed to use eEarlyWakeup[Start|End] flags,[],0
125,06-30,19:49:49.085,486,983,E,SurfaceFlinger,Only WindowManager is allowed to use eEarlyWakeup[Start|End] flags,5de975b3,Only WindowManager is allowed to use eEarlyWakeup[Start|End] flags,[],0
126,06-30,19:49:49.136,486,569,E,SurfaceFlinger,Only WindowManager is allowed to use eEarlyWakeup[Start|End] flags,5de975b3,Only WindowManager is allowed to use eEarlyWakeup[Start|End] flags,[],0
127,06-30,19:49:49.234,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31529, 2671192, CUJ=J<LAUNCHER_CLOSE_ALL_APPS_SWIPE>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31529', '2671192, CUJ=J<LAUNCHER_CLOSE_ALL_APPS_SWIPE>']",0
128,06-30,19:49:49.234,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31544, 10248448, CUJ=J<LAUNCHER_CLOSE_ALL_APPS_SWIPE>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31544', '10248448, CUJ=J<LAUNCHER_CLOSE_ALL_APPS_SWIPE>']",0
129,06-30,19:49:49.234,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31552, 5891960, CUJ=J<LAUNCHER_CLOSE_ALL_APPS_SWIPE>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31552', '5891960, CUJ=J<LAUNCHER_CLOSE_ALL_APPS_SWIPE>']",0
130,06-30,19:49:49.234,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31560, 5667208, CUJ=J<LAUNCHER_CLOSE_ALL_APPS_SWIPE>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31560', '5667208, CUJ=J<LAUNCHER_CLOSE_ALL_APPS_SWIPE>']",0
131,06-30,19:49:49.234,1090,1090,W,FrameTracker,"Missed SF frame:SURFACE_FLINGER_SCHEDULING, 31568, 7245544, CUJ=J<LAUNCHER_CLOSE_ALL_APPS_SWIPE>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:SURFACE_FLINGER_SCHEDULING', '31568', '7245544, CUJ=J<LAUNCHER_CLOSE_ALL_APPS_SWIPE>']",0
132,06-30,19:49:49.234,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31576, 5727267, CUJ=J<LAUNCHER_CLOSE_ALL_APPS_SWIPE>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31576', '5727267, CUJ=J<LAUNCHER_CLOSE_ALL_APPS_SWIPE>']",0
133,06-30,19:49:49.234,1090,1090,W,FrameTracker,"Missed SF frame:PREDICTION_ERROR, 31584, 6750147, CUJ=J<LAUNCHER_CLOSE_ALL_APPS_SWIPE>",5461f9ee,"Missed <*> <*> <*>, <*>, <*>","['SF', 'frame:PREDICTION_ERROR', '31584', '6750147, CUJ=J<LAUNCHER_CLOSE_ALL_APPS_SWIPE>']",0
